FID,id,país,organizaci,mapa,código SE,MdV,provisión,flujo,usuarios,xcoord,ycoord,SE,x,y
1,1,Ecuador,Tierra Viva,Tierra Viva,Be_P4,Lm; Ja,"Plantas medicinales como la tuna, flor de jamaica, mosquera, guarango",Crian en los alrededores de los caminos su acceso es facil,200 familias,1501548.664,50962.91419,Recursos medicinales,-78.03609144,0.4554081412
2,2,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1504837.002,48933.67507,Alimentos,-78.00692582,0.4372392995
3,3,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1503724.29,47384.18743,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.01681848,0.4234057266
4,4,Ecuador,Tierra Viva,Tierra Viva,Be_R6,Ag; Mg; Ov,"Obtienen miel, cera, polen y favorece a la polinización de los frutales",Ubicación de cajas de abejas,"10 familias, 4 ha",1504146.201,47322.93045,Polinización,-78.01307424,0.4228539597
5,5,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1504015.511,47062.54637,Alimentos,-78.01423693,0.4205286556
6,6,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1503382.059,45729.79835,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.01987299,0.4086262412
7,7,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1504905.236,45638.88965,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.00635433,0.4077985892
8,8,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1504355.221,45095.74794,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.01124154,0.4029509115
9,9,Ecuador,Tierra Viva,Tierra Viva,Be_R6,Ag; Mg; Ov,"Obtienen miel, cera, polen y favorece a la polinización de los frutales",Ubicación de cajas de abejas,"10 familias, 4 ha",1503995.569,45073.29429,Polinización,-78.01443399,0.4027538514
10,10,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1503187.453,45041.5219,Alimentos,-78.02160716,0.4024779672
11,11,Ecuador,Tierra Viva,Tierra Viva,Be_R6,Ag; Mg; Ov,"Obtienen miel, cera, polen y favorece a la polinización de los frutales",Ubicación de cajas de abejas,"10 familias, 4 ha",1503574.427,44442.10075,Polinización,-78.01817823,0.3971179297
12,12,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1503365.946,44243.39325,Alimentos,-78.02003064,0.3953443871
13,13,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1503961.027,44182.29245,Alimentos,-78.0147493,0.3947926182
14,14,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1504090.287,43732.53914,Alimentos,-78.01360632,0.3907725867
15,15,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1503024.441,43872.52957,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.02306544,0.3920337732
16,16,Ecuador,Tierra Viva,Tierra Viva,Be_P1,Ag; Mg; Ov,"Alimentos como tuna, guandul entre otros",Metodos de cosecha tradicionales,"Ambuqui, San Clemente, 115 familias, 300 ha.",1503460.564,42968.81562,Alimentos,-78.01920297,0.3839542935
17,17,Ecuador,Tierra Viva,Tierra Viva,Be_R6,Ag; Mg; Ov,"Obtienen miel, cera, polen y favorece a la polinización de los frutales",Ubicación de cajas de abejas,"10 familias, 4 ha",1503794.165,42426.65287,Polinización,-78.01624699,0.379106602
18,18,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1503132.938,42051.0577,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.02211953,0.3757565696
19,19,Ecuador,Tierra Viva,Tierra Viva,Be_R5,Ag; Mg; Ov; Lm,Retención de materia organica y microorganismos,Uso de barreras vivas en terrenos con pendientes pronunciadas,"Agricultores, 200 ha.",1504433.327,42678.73572,Prevención de la erosión y mantenimiento de la fertilidad del suelo,-78.01057152,0.3813530935
20,20,Ecuador,Tierra Viva,Tierra Viva,Mi_P1,Br; Gn; Ga; Cy,Alimentos para los animales,Metodos tradicional de cosecha,"400 familias, 400 ha.",1505263.004,43341.23868,Alimentos,-78.00320129,0.3872649105
21,21,Ecuador,Tierra Viva,Tierra Viva,Mi_P1,Br; Gn; Ga; Cy,Alimentos para los animales,Metodos tradicional de cosecha,"400 familias, 400 ha.",1505685.977,42287.48495,Alimentos,-77.99945705,0.3778454135
22,22,Ecuador,Tierra Viva,Tierra Viva,Mi_P1,Br; Gn; Ga; Cy,Alimentos para los animales,Metodos tradicional de cosecha,"400 familias, 400 ha.",1505176.792,40840.19236,Alimentos,-78.00398955,0.364918221
23,23,Ecuador,Tierra Viva,Tierra Viva,Mi_P1,Br; Gn; Ga; Cy,Alimentos para los animales,Metodos tradicional de cosecha,"400 familias, 400 ha.",1502872.276,40758.48008,Alimentos,-78.0244449,0.3642088014
24,24,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1504156.757,39542.40352,Agua dulce,-78.01305454,0.3533310266
25,25,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1504099.671,38880.73557,Agua dulce,-78.01356691,0.3474191872
26,26,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1503655.745,38756.81026,Agua dulce,-78.01750821,0.3463156434
27,27,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1504304.546,38236.95917,Agua dulce,-78.01175391,0.3416649932
28,28,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1503008.404,37741.74614,Agua dulce,-78.02326251,0.3372508146
29,29,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1505241.518,38220.19999,Agua dulce,-78.00343777,0.341507344
30,30,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1505552.249,38339.5879,Agua dulce,-78.00067886,0.342571476
31,31,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1506089.275,38648.86439,Agua dulce,-77.99590988,0.3453303363
32,32,Ecuador,Tierra Viva,Tierra Viva,Mi_P1,Br; Gn; Ga; Cy,Alimentos para los animales,Metodos tradicional de cosecha,"400 familias, 400 ha.",1507075.074,38698.32832,Alimentos,-77.9871602,0.3457638714
33,33,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1504958.225,37249.54615,Agua dulce,-78.0059602,0.3328366341
34,34,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1504078.957,36069.96336,Agua dulce,-78.01377383,0.322303682
35,35,Ecuador,Tierra Viva,Tierra Viva,Bm_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1504169.268,34341.02137,Agua dulce,-78.01298557,0.3068540189
36,36,Ecuador,Tierra Viva,Tierra Viva,Pr_P3,Mz; Gn; Tr; Ar; Br; Ga,Consumo humano y animal; uso para el riego,"Vertientes naturales, acequias y tuberias","400 familias, 400 ha.",1503339.826,33233.23679,Agua dulce,-78.0203558,0.2969614932
37,37,Ecuador,Tierra Viva,Tierra Viva,Mi_P1,Br; Gn; Ga; Cy,Alimentos para los animales,Metodos tradicional de cosecha,"400 familias, 400 ha.",1505939.054,41250.07617,Alimentos,-77.99722036,0.3685737019
38,38,Ecuador,Tierra Viva,Tierra Viva,Rv_P3,Fr; Pc,Agua para riego proveniente del rio,Atravez de canales de riego proveniente del rio,800 familias,1501332.788,50291.15816,Agua dulce,-78.03801511,0.449407675
39,39,Ecuador,Tierra Viva,Tierra Viva,Rv_P3,Fr; Pc,Agua para riego proveniente del rio,Atravez de canales de riego proveniente del rio,800 familias,1500490.424,52808.39721,Agua dulce,-78.04546416,0.4719117705
40,40,Ecuador,Tierra Viva,Tierra Viva,Rv_P3,Fr; Pc,Agua para riego proveniente del rio,Atravez de canales de riego proveniente del rio,800 familias,1502079.845,52911.90266,Agua dulce,-78.03135431,0.4728182387
41,41,Ecuador,Tierra Viva,Tierra Viva,Rv_A1,Fr; Ar,Tutoreo para sistemas productivos,Presencia en las riveras del Rio Chota,450 familias,1504666.594,52714.5876,Hábitats para las especies,-78.00839623,0.4710250081
42,42,Ecuador,Tierra Viva,Tierra Viva,Rv_A1,Fr; Ar,Tutoreo para sistemas productivos,Presencia en las riveras del Rio Chota,450 familias,1505386.504,52292.08526,Hábitats para las especies,-78.00201133,0.4672414869
43,43,Ecuador,Tierra Viva,Tierra Viva,Rv_A1,Fr; Ar,Tutoreo para sistemas productivos,Presencia en las riveras del Rio Chota,450 familias,1508672.061,49226.14471,Hábitats para las especies,-77.97288512,0.4398108984
44,44,Ecuador,Tierra Viva,Tierra Viva,Rv_A1,Fr; Ar,Tutoreo para sistemas productivos,Presencia en las riveras del Rio Chota,450 familias,1499053.807,53038.06594,Hábitats para las especies,-78.05821427,0.4739808825
45,45,Ecuador,Tierra Viva,Tierra Viva,Be_P2,Lm; Mg; Ja; Ag; Pi,Provision de leña y carbon,Aprovechan la madera de los bosques,20 familias,1500721.406,50989.43914,Materias primas,-78.04343439,0.4556544407
46,46,Ecuador,Tierra Viva,Tierra Viva,Be_P2,Lm; Mg; Ja; Ag; Pi,Provision de leña y carbon,Aprovechan la madera de los bosques,20 familias,1502152.087,50219.39917,Materias primas,-78.03074341,0.4487573805
47,47,Ecuador,Tierra Viva,Tierra Viva,Be_P2,Lm; Mg; Ja; Ag; Pi,Provision de leña y carbon,Aprovechan la madera de los bosques,20 familias,1496621.815,52280.81524,Materias primas,-78.07981259,0.4672414869
48,48,Ecuador,Tierra Viva,Tierra Viva,Be_P2,Lm; Mg; Ja; Ag; Pi,Provision de leña y carbon,Aprovechan la madera de los bosques,20 familias,1497275.959,51082.14642,Materias primas,-78.07401888,0.4565214992
49,49,Ecuador,Tierra Viva,Tierra Viva,Be_P2,Lm; Mg; Ja; Ag; Pi,Provision de leña y carbon,Aprovechan la madera de los bosques,20 familias,1505214.899,51056.83634,Materias primas,-78.00354843,0.4562062052
50,50,Ecuador,Tierra Viva,Tierra Viva,Be_P4,Lm; Ja,"Plantas medicinales como la tuna, flor de jamaica, mosquera, guarango",Crian en los alrededores de los caminos su acceso es facil,200 familias,1506692.948,47984.24534,Recursos medicinales,-77.99046332,0.4287361635