pais,paisaje,grupo,elemento_SES,nombre,uso_final_medio_de_vida
Ecuador,Ambuqui,Zona Alta,medio de vida,Arveja,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Arveja,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Cerdos,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Chocho,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Chocho,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Manzana,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Manzana,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Fréjol,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Fréjol,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Maíz,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Maíz,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Gallinas,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Gallinas,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Cuyes,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Cuyes,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Habas,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Habas,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Claudia,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Huertos Hortícolas,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Tomate Riñón,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Tomate Riñón,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Trigo,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Trigo,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Durazno,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Taxo,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Cebada,autoconsumo
Ecuador,Ambuqui,Zona Alta,medio de vida,Cebada,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Ganadería,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Borregos,comercial
Ecuador,Ambuqui,Zona Alta,medio de vida,Limón,autoconsumo
Ecuador,Ambuqui,Zona Alta,ecosistema,Páramo,
Ecuador,Ambuqui,Zona Alta,ecosistema,Bosque Montano,
Ecuador,Ambuqui,Zona Alta,ecosistema,Matorral Interandino,
Ecuador,Ambuqui,Zona media,medio de vida,Mango,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Mango,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Limón,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Limón,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Peces,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Peces,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Ovos,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Ovos,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Mandarina,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Mandarina,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Tomate riñón,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Tomate riñón,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Guabas,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Guabas,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Manzana,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Manzana,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Cerdos,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Cerdos,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Gallina,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Gallina,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Turismo Comunitario,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Fréjol,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Fréjol,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Artesanías,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Huertos Hortícolas,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Huertos Hortícolas,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Cuyes,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Cuyes,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Guandul,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Guandul,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Papaya,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Papaya,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Guayaba,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Guayaba,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Aguacate,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Aguacate,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Caña de Azúcar,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Camote,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Camote,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Verde o maduro,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Verde o maduro,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Yuca,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Yuca,comercial
Ecuador,Ambuqui,Zona media,medio de vida,Maíz Morocho,autoconsumo
Ecuador,Ambuqui,Zona media,medio de vida,Maíz Morocho,comercial
Ecuador,Ambuqui,Zona media,ecosistema,Bosque Espinozo,
Ecuador,Ambuqui,Zona baja,medio de vida,Aguacate,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Aguacate,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Limón,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Limón,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Mango,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Mango,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Fréjol,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Fréjol,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Mandarina,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Mandarina,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Caña de Azúcar,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Caña de Azúcar,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Gallinas,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Gallinas,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Cuyes,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Cuyes,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Ovos,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Ovos,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Plátano Seda,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Peces,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Cerdos,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Cerdos,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Turismo Comunitario,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Artesanías,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Huertos Hortícolas,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Pimiento,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Pimiento,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Yuca Camote,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Yuca Camote,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Pepinillo,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Pepinillo,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Cebolla Paiteña,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Cebolla Paiteña,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Tomate,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Tomate,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Jamaica,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Jamaica,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Papaya,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Papaya,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Sandía,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Sandía,comercial
Ecuador,Ambuqui,Zona baja,medio de vida,Guandul,autoconsumo
Ecuador,Ambuqui,Zona baja,medio de vida,Guandul,comercial
Ecuador,Ambuqui,Zona baja,ecosistema,Riveras del Río,
Ecuador,Ambuqui,Zona baja,ecosistema,Bosque Espinozo,