pais,paisaje,grupo,medio_de_vida,producto_principal,producto_principal,producto_principal,producto_principal,producto_principal,producto_principal,producto_principal,producto_principal,indice_seguridad_alimentaria,imdice_area,indice_desarrollo_local,indice_ambiente,indice_inlcusion,indice_total
Ecuador,Ambuqui,Zona Alta,Maiz,Maiz seco,choclo,mote,harinas,,,,,3,3,2,2,3,13
Ecuador,Ambuqui,Zona Alta,Gallinas,Carne,huevos,abono,,,,,,3,1,3,2,3,12
Ecuador,Ambuqui,Zona Alta,Trigo,Harina,machica,trigo pelado,,,,,,3,2,3,2,3,13
Ecuador,Ambuqui,Zona Alta,Borregos,Carne,lana,abono,,,,,,1,2,2,2,3,10
Ecuador,Ambuqui,Zona Alta,Arveja,Tierna,seca,harina,,,,,,3,2,3,1,3,12
Ecuador,Ambuqui,Zona Alta,Ganaderia,Carne,leche,queso,suero,cuero,abono,,,2,2,2,2,3,11
Ecuador,Ambuqui,Zona Media,Gallinas,Carne,huevos,abono,,,,,,3,2,2,3,1,11
Ecuador,Ambuqui,Zona Media,Turismo comunitario,Alimentación,senderismo,artesanias,actividades culturales,medicinal,productos agricolas,,,1,1,2,3,3,10
Ecuador,Ambuqui,Zona Media,Mango,Furto fresco en mallas,gabetas o cartones,pulpa,helados,mermeladas,vino,jugos,fruto deshidratado,2,2,2,1,3,10
Ecuador,Ambuqui,Zona Media,Aguacate,Fruto en gavetas,aceites,pulpa,helados,,,,,3,2,2,1,3,11
Ecuador,Ambuqui,Zona Media,Ovo,Fruto,helado,vino,pulpa,mermelada,,,,1,1,2,1,3,8
Ecuador,Ambuqui,Zona Media,Limon,Fruto en bultos o costales,,,,,,,,3,1,2,1,2,9
Ecuador,Ambuqui,Zona Baja,Frejol,Quintal del grano seco y en bultos grano tierno,,,,,,,,2,2,3,3,3,13
Ecuador,Ambuqui,Zona Baja,Pimiento,Verduras en bultos o gavetas,,,,,,,,2,2,3,1,3,11
Ecuador,Ambuqui,Zona Baja,Mango y limon,Frutos en gavetas,bultos,cajas de carton y por unidades,,,,,,2,3,3,3,3,14
Ecuador,Ambuqui,Zona Baja,Agucate y limon,Frutos en gavetas y bultos,,,,,,,,1,2,2,3,3,11
Ecuador,Ambuqui,Zona Baja,Turismo comunitario y artesanias,Danza,gastronomia,piscinas,música,instrumentos musicales,vestimenta,collares,,1,1,1,1,1,5
Ecuador,Ambuqui,Zona Baja,Jamaica,Flor de jamaica en cajas,tarrinas,flor fresca y seca,,,,,,3,2,2,2,3,12