pais,paisaje,grupo,cod_ecosistema_y_servicio_Ecosistemico,medio_de_vida_relacionado,elemento_se,accesso,barreras,nr_usuarios,mes_contrib,mes_falta,inclusion,inclusion_descripcion
Ecuador,Ambuqui,Zona Alta,Mi_P1,Borregos; ganaderia; gallinas y cuyes,provisión,Alimentos para los animales,Disminuye debido a la mayor carga animal,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,NA
Ecuador,Ambuqui,Zona Alta,Mi_P1,Borregos; ganaderia; gallinas y cuyes,flujo,Su aprovechamiento se lo realiza de forma directa,Complicado debido a la presencia de menos matorral,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,NA
Ecuador,Ambuqui,Zona Alta,Mi_P1,Borregos; ganaderia; gallinas y cuyes,demanda,Todos los animales necesitan de alimentos,N/A,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,NA
Ecuador,Ambuqui,Zona Alta,Pr_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,provisión,Provee agua para consumo humano; animal y para riego,Disminuye producto del aumento de quemas y talas,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Pr_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,flujo,Se obtiene mediante tuberias o acequias de las vertientes,Complicado debido a la deficiente infraestructura y falta de mantenimiento a la existente,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Pr_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,demanda,Aumenta ya que se benefician las personas; animales y cultivos del territorio,N/A,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Bm_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,provisión,Provee agua para consumo humano; animal y para riego,Disminuye producto del aumento de la sequia y presencia de actividades de deforestacion,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Bm_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,flujo,Se obtiene mediante tuberias o acequias de las vertientes,Complicado debido a la poca infraestructura de distribución,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Alta,Bm_P3,Maiz; ganaderia; trigo; arveja; borregos y gallinas,demanda,Aumenta ya que se benefician las personas; animales y cultivos del territorio,N/A,400,Ene; Feb; Mar; Abr; Nov; Dic,May; Jun; Jul; Ago; Sep; Oct,Hombres; mujeres; jovenes; grupos marginados,Todos se benefician por igual
Ecuador,Ambuqui,Zona Media,Be_P1,Aguacate; mango y ovos,provisión,El bosque espinozo provee de alimentos silvestres como la tuna; guandul; pitahaya de monte; entre otros,Disminuye debido al aumento de la frontera agricola; cambio de uso de suelo,115,Ene; Feb; Mar; Abr; May; Jun; Oct; Nov; Dic,Jul; Ago; Sep,Mujeres,Las mujeres son las que se encargan en las actividades de cosecha
Ecuador,Ambuqui,Zona Media,Be_P1,Aguacate; mango y ovos,flujo,Se la obtiene mediante metodos de cosechas tradicionales; dentro de los bosques.,N/A,115,Ene; Feb; Mar; Abr; May; Jun; Oct; Nov; Dic,Jul; Ago; Sep,Mujeres,Las mujeres son las que se encargan en las actividades de cosecha
Ecuador,Ambuqui,Zona Media,Be_P1,Aguacate; mango y ovos,demanda,Aprovechan los pobladores de la zona urbana de Ambuqui y comunidades como San Clemente y los turistas,N/A,115,Ene; Feb; Mar; Abr; May; Jun; Oct; Nov; Dic,Jul; Ago; Sep,Mujeres,Las mujeres son las que se encargan en las actividades de cosecha
Ecuador,Ambuqui,Zona Media,Be_R6,Mango; aguacate y ovos,provisión,Mediante la polinizacion se obtiene la miel; polen y cera,Disminuye debido al uso inadecuado de insecticidas,10,Jun; Jul; Ago,Ene; Feb; Mar; Abr; May,Hombres,Los hombres son los que realizan las actividades de apicultura
Ecuador,Ambuqui,Zona Media,Be_R6,Mango; aguacate y ovos,flujo,Se obtiene mediante el uso de cajas de abejas ,Complicado debido a la falta de asesoria y manejo técnico,10,Jun; Jul; Ago,Ene; Feb; Mar; Abr; May,Hombres,Los hombres son los que realizan las actividades de apicultura
Ecuador,Ambuqui,Zona Media,Be_R6,Mango; aguacate y ovos,demanda,Existe demanda de la gente local y turistas que visitan la zona,N/A,10,Jun; Jul; Ago,Ene; Feb; Mar; Abr; May,Hombres,Los hombres son los que realizan las actividades de apicultura
Ecuador,Ambuqui,Zona Media,Be_R5,Aguacate; mango; ovos y limon,provisión,Provee de materia organica; microorganismos de montaña,Disminuye debido al cambio de uso de suelo; mecanizacion de los suelos de forma inadecuada,200,Ene; Feb; Mar; Abr; May; Nov; Dic,Jul; Ago; Sep; Oct,Hombre; Mujeres; Jóvenes,Los hombres realizan las actividades físicas; mujeres y jovenes apoyan a la producción de materia orgánica y microorganismos
Ecuador,Ambuqui,Zona Media,Be_R5,Aguacate; mango; ovos y limon,flujo,Se obtiene mediante la implementacion de barreras vivas en terrenos con pendientes pronunciadas,N/A,200,Ene; Feb; Mar; Abr; May; Nov; Dic,Jul; Ago; Sep; Oct,Hombre; Mujeres; Jóvenes,Los hombres realizan las actividades físicas; mujeres y jovenes apoyan a la producción de materia orgánica y microorganismos
Ecuador,Ambuqui,Zona Media,Be_R5,Aguacate; mango; ovos y limon,demanda,Se benefician los cultivos ,N/A,200,Ene; Feb; Mar; Abr; May; Nov; Dic,Jul; Ago; Sep; Oct,Hombre; Mujeres; Jóvenes,Los hombres realizan las actividades físicas; mujeres y jovenes apoyan a la producción de materia orgánica y microorganismos
Ecuador,Ambuqui,Zona Baja,Rv_P3,Frejol y peces,provisión,Ofrece recurso hidrico para uso de riego.,N/A,800,Abr; May; Jun; Jul; Ago; Sep; Oct,Ene; Feb,Hombres; mujeres; jovenes; grupos marginados,El agua proviene de Peñaherrera y se utiliza para producción
Ecuador,Ambuqui,Zona Baja,Rv_P3,Frejol y peces,flujo,Se obtiene a traves de los canales de riego que llega por medio del rio,Complicado debido a la reducción del caudal de agua en los rios y vertientes,800,Abr; May; Jun; Jul; Ago; Sep; Oct,Ene; Feb,Hombres; mujeres; jovenes; grupos marginados,El agua proviene de Peñaherrera y se utiliza para producción
Ecuador,Ambuqui,Zona Baja,Rv_P3,Frejol y peces,demanda,Se benefician comunidades de El Chota; San Alfonso de Ambuqui; Carpuela; Juncal - Chalguayacu,N/A,800,Abr; May; Jun; Jul; Ago; Sep; Oct,Ene; Feb,Hombres; mujeres; jovenes; grupos marginados,El agua proviene de Peñaherrera y se utiliza para producción
Ecuador,Ambuqui,Zona Baja,Rv_A1,Frejol y artesanias,provisión,El ecosistema provee de insumos de tutoreo para uso en sistemas productivos,N/A,450,Ene; Feb; Mar; Abr; May; Jun; Sep; Oct; Nov; Dic,Jul; Ago,Hombres; mujeres; jovenes; grupos marginados,El agua proviene de Caldera
Ecuador,Ambuqui,Zona Baja,Rv_A1,Frejol y artesanias,flujo,Se obtiene en las riveras del rio y en las cercanias de los canales del Rio Chota,N/A,450,Ene; Feb; Mar; Abr; May; Jun; Sep; Oct; Nov; Dic,Jul; Ago,Hombres; mujeres; jovenes; grupos marginados,El agua proviene de Caldera
Ecuador,Ambuqui,Zona Baja,Rv_A1,Frejol y artesanias,demanda,Se benefician comunidades de Chalguayacu; Juncal; Carpuela; Bermejal; Espadillas; San Alfonso de Ambuqui,Disminuye mediante la construcción de viviendas; cambio de cultivos de ciclo corto a permanentes,450,Ene; Feb; Mar; Abr; May; Jun; Sep; Oct; Nov; Dic,Jul; Ago,Hombres; mujeres; jovenes; grupos marginados,El agua proviene de Caldera
Ecuador,Ambuqui,Zona Baja,Be_P2,Limon; mango; flor de jamaica; aguacate y pimiento,provisión,El ecosistema provee de leña y carbon,N/A,20,Ene; Feb; Mar; Abr; May; Jun; Jul; Ago; Sep; Oct; Nov; Dic,NA,Hombres; mujeres; jovenes; grupos marginados,Para el aprovechamiento de madera se necesita los permisos de corte al MAATE.
Ecuador,Ambuqui,Zona Baja,Be_P2,Limon; mango; flor de jamaica; aguacate y pimiento,flujo,Se lo obtiene mediante el aprovechamiento de madera del bosque espinozo,Complicado debido a la obtención de los permisos para el aprovechamiento de madera,20,Ene; Feb; Mar; Abr; May; Jun; Jul; Ago; Sep; Oct; Nov; Dic,NA,Hombres; mujeres; jovenes; grupos marginados,Para el aprovechamiento de madera se necesita los permisos de corte al MAATE.
Ecuador,Ambuqui,Zona Baja,Be_P2,Limon; mango; flor de jamaica; aguacate y pimiento,demanda,Se benefician las comunidades de El Ramal; Carpuela; Chalguayacu  ,N/A,20,Ene; Feb; Mar; Abr; May; Jun; Jul; Ago; Sep; Oct; Nov; Dic,NA,Hombres; mujeres; jovenes; grupos marginados,Para el aprovechamiento de madera se necesita los permisos de corte al MAATE.
Ecuador,Ambuqui,Zona Baja,Be_P4,Limon y flor de jamaica,provisión,El ecosistema provee de plantas medicinales como la tuna; flor de jamaica; uña de gato; mosquera; gurango; etre otras,N/A,200,Ene; Feb; Mar; Abr; May; Jun; Jul; Ago; Sep; Oct; Nov; Dic,NA,Hombres; mujeres; jovenes; grupos marginados,Su uso es frecuente en cada hogar
Ecuador,Ambuqui,Zona Baja,Be_P4,Limon y flor de jamaica,flujo,Su obtencion es accesible ya que se encuentra en las partes externas de las vias,N/A,200,Ene; Feb; Mar; Abr; May; Jun; Jul; Ago; Sep; Oct; Nov; Dic,NA,Hombres; mujeres; jovenes; grupos marginados,Su uso es frecuente en cada hogar
Ecuador,Ambuqui,Zona Baja,Be_P4,Limon y flor de jamaica,demanda,Se benefician todas las comunidades de la parte baja,N/A,200,Ene; Feb; Mar; Abr; May; Jun; Jul; Ago; Sep; Oct; Nov; Dic,NA,Hombres; mujeres; jovenes; grupos marginados,Su uso es frecuente en cada hogar